Codigo,Nombre,Tipo,Estado,CodigoOrganismoPublico,NombreOrganismoPublico,FechaCreacion,FechaCierre,CodigoProveedorConsultado,FechaConsulta
5052-147-SE26,CM/2201001002/TARJETAS DE ALIMENTACIÓN GRAN COMPRA/ENERO,12,27693,2026-03-03
507428-214-CM26,Orden de Compra: 507428-214-CM26,4,27693,2026-03-03
768-35-SE26,SERVICIO DE SALA CUNA,6,27693,2026-03-03
1057514-85-CM26,Orden de Compra: 1057514-85-CM26,12,27693,2026-03-03
1079659-64-CM26,RANCHO FISCAL MES DE FEBRERO AÑO 2026,12,27693,2026-03-03
1099402-96-CM26,OC DESDE 1099402-96-CM26 ALIMENTACIÓN MZ-26,12,27693,2026-03-03
1463-104-CM26,CARGA TARJETAS DE ALIMENTACION MARZO 2026,4,27693,2026-03-03
1643-477-CM26,COLACIONES PERSONAL TURNO NOCHE ENERO 2026,12,27693,2026-03-03
165-15-CM26,Beneficio vestuario Secretarias y Administrativos.,4,27693,2026-03-03
2200-437-CM25, TARJETAS DE ALIMENTACIÓN PARA FUNCIONARIOS DE LA DIRECCIÓN DEL SSA - DDP Orden de Compra  generada por la Gran Compra: 79386 (REEMPLAZA OC 2200-419-CM25),12,27693,2026-03-03
2430-41-CM26,Orden de Compra: 2430-41-CM26,4,27693,2026-03-03
3474-128-CM26,ADQUISICION DE CARGAS DE LAS TARJETAS DE ALIMENTACION 4TO. ESCUADRÓN ,6,27693,2026-03-03
5052-147-SE26,CM/2201001002/TARJETAS DE ALIMENTACIÓN GRAN COMPRA/ENERO,12,27693,2026-03-03
507428-214-CM26,Orden de Compra: 507428-214-CM26,4,27693,2026-03-03
5349-427-CM26,RECARGA ALIMENTACIÓN MES DE FEBRERO 2026,12,27693,2026-03-03
707428-29-SE26,SERVICIO DE ALIMENTACION MARZO 2026,4,27693,2026-03-03
768-35-SE26,SERVICIO DE SALA CUNA,12,27693,2026-03-03
1079969-42-CM26,BENEFICIO RECARGA TARJETA DE ALIMENTACIÓN MES FEBRERO POR UN VALOR TOTAL DE $204.000 PARA EL DEAOPERPOL,4,27693,2026-03-04
1623-91-CM26,Beneficio de Alimentación Funcionario Febrero 2026,4,27693,2026-03-04
1079969-42-CM26,BENEFICIO RECARGA TARJETA DE ALIMENTACIÓN MES FEBRERO POR UN VALOR TOTAL DE $204.000 PARA EL DEAOPERPOL,4,27693,2026-03-04
1079969-43-CM26,BENEFICIO RECARGA TARJETA DE ALIMENTACIÓN MES FEBRERO POR UN VALOR TOTAL DE $ 1.026.000 PARA LA 67º COMISARIA SEGURIDAD PRIVADA,4,27693,2026-03-04
1434-34-CM26,Orden de Compra: 1434-34-CM26,4,27693,2026-03-04
1462-45-CM26,Orden de Compra: 1462-45-CM26,12,27693,2026-03-04
1464-292-CM26,BENEFICIO DE ALIMENTACIÓN PARA FUNCIONARIOS DEL HOSPITAL DE PARRAL RECARGAS PARA EL MES DE MARZO 2026.,12,27693,2026-03-04
1623-91-CM26,Beneficio de Alimentación Funcionario Febrero 2026,4,27693,2026-03-04
1626-31-CM26,Beneficio de alimentación febrero,4,27693,2026-03-04
3251-1828-CM25,Orden de Compra: 3251-1828-CM25 Uniforme,12,27693,2026-03-04
1079969-42-CM26,BENEFICIO RECARGA TARJETA DE ALIMENTACIÓN MES FEBRERO POR UN VALOR TOTAL DE $204.000 PARA EL DEAOPERPOL,4,27693,2026-03-04
1079969-43-CM26,BENEFICIO RECARGA TARJETA DE ALIMENTACIÓN MES FEBRERO POR UN VALOR TOTAL DE $ 1.026.000 PARA LA 67º COMISARIA SEGURIDAD PRIVADA,4,27693,2026-03-04
1142-61-CM26,Vestuario Alta Montaña - Complejo Fronterizo Pehuenche,6,27693,2026-03-04
1413-139-AG26, DIRREG LOS LAGOS REQUIERE ADQUIRIR GIF CARD DE ALIMENTACIÓN PROGRAMAS LICO Y PROGRAMA PAÍS. 1413-25-COT26,6,27693,2026-03-04
1434-34-CM26,Orden de Compra: 1434-34-CM26,4,27693,2026-03-04
1462-45-CM26,Orden de Compra: 1462-45-CM26,12,27693,2026-03-04
1462-72-CM26,Orden de Compra: 1462-72-CM26,12,27693,2026-03-04
1464-292-CM26,BENEFICIO DE ALIMENTACIÓN PARA FUNCIONARIOS DEL HOSPITAL DE PARRAL RECARGAS PARA EL MES DE MARZO 2026.,12,27693,2026-03-04
1623-91-CM26,Beneficio de Alimentación Funcionario Febrero 2026,4,27693,2026-03-04
1626-31-CM26,Beneficio de alimentación febrero,4,27693,2026-03-04
1953-85-SE26,"501 SERVICIO ADM. SALAS CUNAS REGIÓN VALPO, FEBRERO 2026",6,27693,2026-03-04
3251-1828-CM25,Orden de Compra: 3251-1828-CM25 Uniforme,12,27693,2026-03-04
688-20-CM26,Orden de Compra: 688-20-CM26,4,27693,2026-03-04
707420-12-SE25,ORDEN DE COMPRA DESDE 707420-6-LQ24,12,27693,2026-03-04
769-4874-SE25,DESDE GRAN COMPRA 78273 ENTREGA DE BENEFICIOS Y TARJETA ALIMENTACION 4.1,12,27693,2026-03-04
1057536-376-CM26,CALZADOS SECRETARIAS SSDR,12,27693,2026-03-05
1511-286-CM26,"O.C CARGA DE TARJETA ALIMENTACION PARA FUNCIONARIOS Y FUNCIONARIAS DEL HOSPITAL DE CONSTITUCION EN CALIDAD DE TITULAR, CONTRATA Y REEMPLAZOS CORRESPONDIENTES FEBRERO 2026(REEMPLAZOS) Y MARZO 2026 (TITULARES Y CONTRATAS)1511-284-CM26 1511-286-CM26",4,27693,2026-03-05
1529-58-CM26,BENEFICIO CARGA DE ALIMENTACION FUNCIONARIOS MES DE FEBRERO 2026,12,27693,2026-03-05
1952-279-SE26,1952-209-LR24 RECARGA EDENRED MES DICIEMBRE 2025,12,27693,2026-03-05
1057536-376-CM26,CALZADOS SECRETARIAS SSDR,12,27693,2026-03-05
